Idade,Problema_Fisico,Preferencia,Local,Disponibilidade,Objetivo,Orcamento,Esporte
Crianca,Nenhum,Coletivo,Aberto,3x,Lazer,Baixo,Futebol
Adolescente,Nenhum,Individual,Fechado,5x,Competicao,Alto,Natacao
Adulto,Respiratorio,Individual,Fechado,2x,Saude,Medio,Natacao
Idoso,Mobilidade,Individual,Aberto,2x,Saude,Baixo,Caminhada
Adulto,Nenhum,Coletivo,Aberto,3x,Lazer,Baixo,Volei
Crianca,Mobilidade,Coletivo,Fechado,2x,Saude,Medio,Natacao
Adolescente,Nenhum,Coletivo,Aberto,5x,Competicao,Medio,Basquete
Adulto,Nenhum,Individual,Fechado,4x,Saude,Alto,Musculacao
Crianca,Nenhum,Coletivo,Indiferente,2x,Lazer,Baixo,Handebol
Idoso,Mental,Individual,Aberto,3x,Saude,Baixo,Yoga
Adulto,Mental,Individual,Fechado,3x,Saude,Medio,Natacao
Adolescente,Nenhum,Individual,Aberto,4x,Competicao,Medio,Ciclismo
Adulto,Nenhum,Coletivo,Aberto,4x,Competicao,Alto,Volei
Idoso,Respiratorio,Individual,Aberto,2x,Saude,Baixo,Yoga
Adulto,Nenhum,Individual,Aberto,3x,Lazer,Baixo,Corrida
Adolescente,Mental,Coletivo,Indiferente,3x,Lazer,Medio,Basquete
Crianca,Nenhum,Coletivo,Indiferente,2x,Lazer,Baixo,Volei
Idoso,Respiratorio,Individual,Aberto,2x,Saude,Baixo,Caminhada
